Global Land and Ocean Temperature Anomalies, November
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.24
1881,-0.27
1882,-0.15
1883,-0.24
1884,-0.35
1885,-0.14
1886,-0.29
1887,-0.19
1888,-0.05
1889,-0.30
1890,-0.46
1891,-0.40
1892,-0.49
1893,-0.19
1894,-0.35
1895,-0.18
1896,-0.15
1897,-0.26
1898,-0.32
1899,0.10
1900,-0.14
1901,-0.20
1902,-0.34
1903,-0.48
1904,-0.17
1905,-0.09
1906,-0.35
1907,-0.49
1908,-0.51
1909,-0.29
1910,-0.49
1911,-0.25
1912,-0.43
1913,-0.16
1914,-0.10
1915,-0.03
1916,-0.44
1917,-0.22
1918,-0.12
1919,-0.40
1920,-0.23
1921,-0.17
1922,-0.15
1923,-0.02
1924,-0.29
1925,0.05
1926,-0.07
1927,-0.05
1928,-0.09
1929,-0.11
1930,0.16
1931,-0.13
1932,-0.22
1933,-0.25
1934,0.03
1935,-0.27
1936,-0.01
1937,0.08
1938,0.02
1939,0.08
1940,0.21
1941,0.32
1942,0.09
1943,0.20
1944,0.14
1945,0.19
1946,-0.04
1947,0.00
1948,-0.07
1949,-0.08
1950,-0.34
1951,0.03
1952,-0.14
1953,-0.02
1954,0.05
1955,-0.23
1956,-0.16
1957,0.11
1958,0.07
1959,-0.06
1960,-0.04
1961,0.04
1962,0.09
1963,0.21
1964,-0.21
1965,-0.06
1966,-0.03
1967,0.00
1968,0.01
1969,0.21
1970,0.04
1971,0.03
1972,0.08
1973,0.03
1974,-0.06
1975,-0.16
1976,-0.03
1977,0.26
1978,0.20
1979,0.29
1980,0.31
1981,0.27
1982,0.15
1983,0.45
1984,0.06
1985,0.14
1986,0.16
1987,0.35
1988,0.21
1989,0.23
1990,0.48
1991,0.30
1992,0.04
1993,0.07
1994,0.46
1995,0.45
1996,0.29
1997,0.58
1998,0.42
1999,0.35
2000,0.27
2001,0.71
2002,0.60
2003,0.57
2004,0.76
2005,0.72
2006,0.65
2007,0.53
2008,0.67
2009,0.71
2010,0.75
2011,0.50
2012,0.71
2013,0.81
2014,0.65
2015,1.01
2016,0.79
2017,0.81
2018,0.79
2019,0.92
2020,0.97
